авиа.;авиация
австрал.;австралийское
азерб.;азербайджанское
алгонхин.;алгонкинское
алтайск.;алтайское
анат.;анатомия
англ.;английское
антроп.;антропология
араб.;арабское
арамейск.;арамейское
археол.;археология
архит.;архитектура
астрон.;астрономия
африкан.;африканские языки
ацтек.;ацтекское
безл.;безличное
биол.;биология
биохим.;биохимия
ботан.;ботаника
бранно;бранное
буд.;будущее время
бухг.;бухгалтерский термин
вводн.;вводное
венг.;венгерское
вепсск.;вепсское
вет.;ветеринария
вин.;винительный падеж
воен.;военный термин
вопросит.;вопросительное
восклиц.;восклицательное
вр.;время
вульг.;вульгарное
высок.;высокое
Вьетнам.;вьетнамское
геогр.;география
геод.;геодезия
геол.;геология
геофиз.;геофизика
гидрол.;гидрология
гидротехн.;гидротехника
глаг.;глагол
голл.;голландское
горн.;горное дело
готтентот.;готтентотское
грамм.;грамматика
греч.;древнегреческое
грубо;грубое
груз.;грузинское
дат.;дательный падеж
деепр.;деепричастие
действ.;действительное
дипл.;дипломатия
дополн.;дополнение
дополнит.;дополнительно
др.;другое
др.-герм.;древнегерманское
др.-евр.;древнееврейское
др.-егип.;древнеегипетское
др.-норв.;древненорвежское
др.-сканд.;древнескандинавское
ед.;единственное число
ж.;женский род
ж.-д.;железнодорожный термин
жарг.;жаргонное
зват.;звательная форма
зн.;значение
зоол.;зоология
ивр.;иврит
им.;именительный падеж
инд.;индийское
индейск.;индейские языки
инф.;инфинитив
информ.;информатика
ирон.;ироническое
иск.;искусствоведение
исланд.;исландское
исп.;испанское
ист.;историческое
итал.;итальянское
казах.;казахское
кариб.;карибские языки
картограф.;картография
кельт.;кельтское
кино.;кино, киноведение
киргиз.;киргизское
китайск.;китайское
книжн.;книжное
колич.;количественное
косв.;косвенное
кратк.;краткий
кулин.;кулинария
кумык.;кумыкское
л.;лицо
-л.;либо
ласк.;ласкательное
лат.;латынь
латыш.;латышское
лес.;лесоводство
лингв.;лингвистика
лит.;литературоведение
литов.;литовское
личн.;личное
лог.;логика
лопар.;лопарское
м.;мужской род
малайск.;малайское
матем.;математика
мед.;медицина
межд.;междометие
мест.;местный падеж
местоим.;местоимение
метео.;метеорология
минер.;минералогия
мн.;множественное число
многокр.;многократное
монг.;монгольское
мор.;морской термин
муз.;музыкальный термин
нанайск.;нанайское
нар.-поэт.;народно-поэтическое
нар.-разг.;народно-разговорное
нареч.;наречие
наречн.;наречное
наст.;настоящее время
неизм.;неизменяемое
нем.;немецкое
ненецк.;ненецкое
неодобр.;неодобрительное
норв.;норвежское
нсв.;несовершенный вид
обращ.;обращение
обстоят.;обстоятельство
однокр.;однократное
одобр.;одобрительное
опр.;определение
определит.;определительное
оптич.;оптический термин
осет.;осетинское
отвлеч.;отвлеченное
относит.;относительное
отриц.;отрицание
отрицат.;отрицательное
офиц.;официальное
охотн.;охотничий термин
перс.;персидское
повел.;повелительное
повтор.;повторение
погов.;поговорка
подчин.;подчинительное
полигр.;полиграфия
полинез.;полинезийские языки
полит.;политический термин
полн.;полное
польск.;польское
португ.;португальское
порядк.;порядковое
поел.;пословица
почтнт.;почтительное
поэт.;поэтическое
превосх.;превосходное
предикат.;предикативное
предл.;предложение
предлож.;предложный падеж
презрит.;презрительное
пренебр.;пренебрежительное
придат.;придаточное
прил.;прилагательное
прилож.;приложение
пр и тяж .;притяжательное
прич.;причастие
пр отиви т.;противительное
противоп.;противоположное
(слово);
проф.;профессионально-разговорное
прош.;прошедшее (время)
психол.;психология
публиц.;публицистическое
(термин);
пчел.;пчеловодство
радио.;радиотехника
р а зг.;разговорное
р а зг.-сн иж .;разговорное сниженное
религ.;религия-
риторич.;риторическое
род.;родительный падеж
румын.;румынское
рыб.;рыболовство, рыбоводство
с.-х.;сельское хозяйство
саам.;саамское
сад.;садоводство
санскр.;санскрит
св.;совершенный вид
сем.;семейство
сингальск.;сингальское
сказ.;сказуемое
сканд.;скандинавские языки
сл.;слово
словосоч.;словосочетание
смягчит.;смягчительно
сниж.;сниженно
собир.;собирательное
сочет.;сочетание
союзн.;союзное
спец.;специальное
спорт.;спортивный термин
сравн.;сравнение
сравнит.;сравнительное
ст.;степень
ст.-слав.;старославянское
страд.;страдательное
суш.;существительное
тамильск.;тамильское
тат.;татарское
тв.;творительный падеж
театр.;театральный термин
текст.;текстильное производство
техн.;техника
тибет.;тибетское
типогр .;типографский термин
торг.;торговля
трад.-лит.;традиционно-литературное
трад.-нар.;традиционно-народное
трад.-поэт.;традиционно-поэтическое
тур.;турецкое
туркм.;туркменское
тюрк.;тюркские языки
тюрк.-монг.;тюрко-монгольские языки
увелич.;увеличительно
узбек.;узбекское
указат.;указательное
укр .;украинское
уменьш.;уменьшительно
уменьш.-ласк.;уменьшительно-ласкательное
уничиж.;уничижительное
употр.;употребляется
усилит.;усилительно
устар.;устарелое
устар.-поэт.;устарелое поэтическое
уступит.;уступительное
утвердит.;утвердительное
фам.;фамильярное
фарм.;фармакология, фармация
физ.;физика
физиол.;физиология
филос.;философия
фин.;финское
финанс.;финансовый термин
финикийск.;финикийское
фото.;фотография
франц.;французское
функц.;в функции
хантыйск.;хантыйское
хим.;химия
церк.;церковный термин
цирк.;цирковой термин
чешек.;чешское
числ.;числительное
чл.;член предложения
чукот.;чукотский
швед.;шведское
шутл.;шутливое
эвенк.;эвенкийское
экон.;экономика
электр.;электротехника
эст.;эстонское
этногр.;этнография
эфиоп.;эфиопское
ювел.;ювелирный термин
юрид.;юридический термин
якут.;якутский
япон.;японское
